filt_size,k,laplacian_var,mse_vs_original,clip_fraction
3,-2.0,0.007128285244107246,0.0024745366536080837,0.0
3,-1.0,0.0009152315324172378,0.0006186341634020209,0.0
3,-0.5,0.0025530485436320305,0.00015465854085050523,0.0
3,0.0,0.007353761699050665,0.0,0.0
3,0.5,0.015268217772245407,0.00015329774760175496,0.000619047619047619
3,1.0,0.02458782307803631,0.0005376043263822794,0.0058095238095238096
3,2.0,0.04481499269604683,0.0017115172231569886,0.015271428571428571
3,3.0,0.06428918242454529,0.003065497148782015,0.027633333333333333
3,5.0,0.09808829426765442,0.005596545524895191,0.050538095238095236
3,9.0,0.16283325850963593,0.01069584023207426,0.08175238095238095
5,-2.0,0.008198564872145653,0.006152592599391937,9.523809523809523e-06
5,-1.0,0.0002740640193223953,0.0015381553675979376,0.0
5,-0.5,0.0019383763428777456,0.0003845388418994844,0.0
5,0.0,0.007353761699050665,0.0,0.0
5,0.5,0.0160975344479084,0.00036255145096220076,0.0035285714285714287
5,1.0,0.02548324316740036,0.0012120436877012253,0.012985714285714286
5,2.0,0.044287875294685364,0.0035557954106479883,0.03648571428571429
5,3.0,0.060212910175323486,0.005862463731318712,0.06191428571428571
5,5.0,0.0885685458779335,0.009962688200175762,0.09607142857142857
5,9.0,0.1415288746356964,0.017564905807375908,0.13924761904761904
7,-2.0,0.007707440294325352,0.009938457980751991,0.0005714285714285715
7,-1.0,0.00011744430958060548,0.0024917267728596926,0.0
7,-0.5,0.0018749277805909514,0.0006229316350072622,0.0
7,0.0,0.007353761699050665,0.0,0.0
7,0.5,0.01585150882601738,0.0005712055135518312,0.006095238095238095
7,1.0,0.02477279119193554,0.0018927829805761576,0.01974761904761905
7,2.0,0.0421723835170269,0.005339381750673056,0.05791904761904762
7,3.0,0.056992750614881516,0.008561492897570133,0.09420952380952381
7,5.0,0.08364768326282501,0.014211615547537804,0.1379142857142857
7,9.0,0.126872718334198,0.023834295570850372,0.19549523809523808
9,-2.0,0.007378807291388512,0.013660685159265995,0.0020428571428571427
9,-1.0,6.11104624113068e-05,0.003452903823927045,0.0
9,-0.5,0.0018546398496255279,0.0008632259559817612,0.0
9,0.0,0.007353761699050665,0.0,0.0
9,0.5,0.015685006976127625,0.000781621434725821,0.008085714285714286
9,1.0,0.024356285110116005,0.0025850858073681593,0.026961904761904763
9,2.0,0.04114420711994171,0.007136250846087933,0.07807142857142857
9,3.0,0.05547584593296051,0.01134908851236105,0.12447142857142857
9,5.0,0.08084343373775482,0.01864103600382805,0.18227142857142858
9,9.0,0.1178986057639122,0.030571134760975838,0.25247619047619047
11,-2.0,0.007067134603857994,0.017230931669473648,0.004828571428571429
11,-1.0,3.610319981817156e-05,0.004409968387335539,0.0
11,-0.5,0.0018469537608325481,0.0011024919804185629,0.0
11,0.0,0.007353761699050665,0.0,0.0
11,0.5,0.01555926539003849,0.0009923955658450723,0.009695238095238095
11,1.0,0.024038558825850487,0.003283512080088258,0.03297142857142857
11,2.0,0.04039676859974861,0.008982906118035316,0.09715714285714286
11,3.0,0.05436507612466812,0.014231172390282154,0.15521904761904762
11,5.0,0.07870952039957047,0.0232319887727499,0.22592380952380953
11,9.0,0.11217483133077621,0.03776128590106964,0.3106714285714286
15,-2.0,0.006539598572999239,0.023998111486434937,0.010561904761904762
15,-1.0,1.575148053234443e-05,0.006297228392213583,0.0
15,-0.5,0.0018411024939268827,0.0015743070980533957,0.0
15,0.0,0.007353761699050665,0.0,0.0
15,0.5,0.015377618372440338,0.0014122211141511798,0.012095238095238095
15,1.0,0.023580443114042282,0.004698159173130989,0.04408095238095238
15,2.0,0.03933955729007721,0.012802165001630783,0.13604285714285713
15,3.0,0.052641116082668304,0.020178362727165222,0.21543333333333334
15,5.0,0.0756186917424202,0.0327063724398613,0.31355714285714287
15,9.0,0.10472395271062851,0.0523957684636116,0.42665238095238095
